 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1
1517365,201802,1201-1800,ZZZ.Airport,US,,,0,,,,,,Night,,,,Air Carrier,EMB ERJ 145 ER/LR,,2,Part 121,None,Passenger,FMS Or FMC,Parked,,,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Speedbrake/Spoiler,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,Flight Deck,Air Carrier,Technician,,,,Training / Qualification; Situational Awareness,,,1517365,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance,,,Person Maintenance,Routine Inspection,Aircraft Aircraft Damaged; General Maintenance Action,Procedure; Human Factors,Procedure,We are three technicians working on a plane. One mechanic is working on the right hand (R/H) Trust Reverser of the aircraft. I and other mechanic were working on wings changing of the proximity connector from Aluminum to Stainless steel of both wings spoilers. The other mechanic that was working on the Trust Reverser R/H side came to me that he needs help to [do] the operational check of the Trust Reverser. I was working on the left hand (L/H) side and the other mechanic was working on the R/H side. I asked him is everything clear to [do] the operational check for the Trust Reverser on R/H side and told me yes. My L/H was cleared because I was working on the L/H side of the wing.I went to the cockpit to operate the Trust Reverser for the operational check. I turned on the hydraulic system; shouted stop; and turned off the hydraulic system. Then we discovered that the other mechanic working on the R/H side put the tire chock between the speed brake and flap. When the hydraulic system was turned on; the speed brake closed with tire chock and it has a composite damage on speed brake. Suggestions: log and tag safety procedure.,,,,An Embraer EMB Maintenance Technician reported that a speed brake panel was damaged when they turned on hydraulic power.
1517734,201802,1801-2400,ZZZ.Airport,US,,,0,,,,Fog,,Daylight,,,Tower ZZZ,Air Carrier,Regional Jet 700 ER/LR (CRJ700),,2,Part 121,IFR,Passenger,,Landing,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,1517734,,,,,,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Strike - Aircraft; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,Aircraft In Service At Gate,Aircraft Aircraft Damaged,Procedure; Human Factors,Human Factors,I believe the wingtip strike occurred due to too much aileron correction used during the landing.During an ILS approach a wingtip strike occurred during landing. At 500 feet above our Decision Altitude the aircraft was stable. The approach lights were visible before we reached minimums. Once the approach lights were visible I realized the aircraft was on the right side of the centerline; approximately 50 feet. I maneuvered the aircraft to the left to line up with the runway centerline. I overcorrected and the aircraft began drifting to the left of the centerline. I maneuvered the aircraft back to the right and in doing so I used too much aileron and the right wing dipped and struck the ground. It was not apparent at this time that any damage had occurred. We arrived at our gate then as I was doing the postflight walkaround I noticed the damage to the right wingtip. It appears that only the outermost 3-5 inches of the extended flap sustained damage.I believe better execution of controlling the aircraft would have allowed the wingtip to stay clear of the ground during the landing. Another suggestion would be to go around and reattempt the landing after seeing that the aircraft was not lined up with the runway centerline.,,,,CRJ-700 First Officer reported damage to the right wingtip resulted when excessive bank angle was used to correct to centerline at low altitude.
1517894,201802,1801-2400,ZZZ.Airport,US,,,0,,,,,,Night,,,,Air Carrier,Regional Jet 700 ER/LR (CRJ700),,,Part 121,,,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Situational Awareness; Communication Breakdown,Party1 Maintenance; Party2 Maintenance,,1517894,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Object,,,Person Maintenance,,Aircraft Aircraft Damaged,Environment - Non Weather Related; Procedure,Procedure,When I entered the hangar for the first time; I noticed the 700 was entering the hangar without any ground guides. I rushed over to the wall side to clear the wing for parking. I had no time to get my whistle. I originally pointed the aircraft move towards the wall trying to get near the wall where we usually end up placing it. I was looking at the wing when I noticed the right horizontal tip was near the pole. I held up my open hand to stop the aircraft. It didn't stop and hit the pole.The 700 was being moved without guides. When I and Person X showed up there was no guide for the tail. I found out later the driver was looking at Person X. I could have yelled to stop. Always have all guides when moving the aircraft in the hangar.,,,,Maintenance Technician reported that a CRJ700 made contact with a pole while being tugged into the hangar.
1518028,201802,1201-1800,ZZZZ.Airport,FO,,,0,,,,,,Daylight,,,,Corporate,Gulfstream G650,,,Part 91,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate,Global Express (BD700),,2,Part 91,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,FBO,FBO Personnel,,,,Situational Awareness,,,1518028,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Aircraft,,,Person Ground Personnel,Taxi,Aircraft Aircraft Damaged,Procedure; Environment - Non Weather Related; Human Factors,Human Factors,Bombardier GLEX; taxiing within the FBO ramp; made contact with their right winglet to the left winglet on a Gulfstream 650.,,,,FBO Quality Manager reported that a Global Express' winglet made contact with the winglet of a Gulfstream during taxi on the FBO ramp.
1518110,201802,0601-1200,ZZZ.Airport,US,,,,,,,,,Daylight,,,Center ZZZ,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Climb,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Pitot-Static System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 210; Flight Crew Type 10000,,Troubleshooting; Time Pressure; Distraction,,,1518110,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Weight And Balance; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft; Human Factors,Human Factors,Damage to alpha vane and pitot tube occurred at some point. Stick shaker activated on climbout and altimeter was 1000 ft off. [ATC was advised] and uneventful overweight landing was accomplished.,,,,B737 Captain reported airspeed and altitude anomalies after takeoff due to undetected damage to pitot static sensors.
1518403,201802,0601-1200,ORD.Airport,IL,,,0,,,VMC,,,Dawn,,,Ramp ORD,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 110; Flight Crew Total 21500; Flight Crew Type 3000,,Distraction; Troubleshooting,,,1518403,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 90; Flight Crew Total 8500; Flight Crew Type 3100,,Distraction; Troubleshooting,,,1518424,Ground Event / Encounter Aircraft,,,Person Ground Personnel,Taxi,Aircraft Aircraft Damaged; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,Airport; Procedure,Airport,Completed preflight and before push checklists at gate. Push crew utilized lektro hydraulic tug. Requested push clearance from ramp tower. We were advised cleared to push tail south. I relayed these instructions to push crew and brakes released. At completion of push back; driver said set brakes; cleared to start both engines. I replied brakes set; cleared to start engines. While starting second engine; nose was lowered by tug for release. After normal starts; I was expecting to hear bypass pin removed; clear to disconnect. After a few minutes; a voice on the inter phone advised there may have been contact with the 737 parked at [the nearby] gate and to standby. In the interest of safety; we shut down both engines immediately. Then began a series of communications with ramp; ground handlers; maintenance and operations; discussing status of aircraft. I called the [Operations] to advise of situation. Ultimately; the aircraft was pulled back into [the] gate for further evaluation. Approximately 45 minutes elapsed from start of push until block-in. Aircraft was taken out of service. We then proceeded to [The Chief Pilot's Office] for debrief. At this point; a replacement aircraft was located and we completed the flight.,,Preflight and before pushback procedures were all normal. After pushback was complete [with a] lektro tug; the ground crew advised the captain to set brakes and cleared the crew to start both engines. After both engines were started and while waiting for release from the ground crew we were advised of potential contact between our tail and the tail of the 737 parked on [the nearby gate]. Maintenance and ground crews communicated with us via headset and we communicated with ramp tower and ops. After about 45 minutes we tugged back into the gate.,,B737 flight crew and multiple ramp personnel reported a ground encounter with a parked aircraft during pushback.
1518992,201802,1201-1800,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,,Air Taxi,Citation Latitude (C680A),,,Part 91,,,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Challenger Jet Undifferentiated or Other Model,,,,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Other / Unknown; Captain; Pilot Flying; FBO Personnel,Flight Crew Air Transport Pilot (ATP),,,Distraction; Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Ground Personnel,,1518992,,,,,,,,,,,,Conflict Ground Conflict; Critical; Ground Event / Encounter Aircraft,,,Person Flight Crew,Taxi,Aircraft Aircraft Damaged,Procedure; Human Factors; Aircraft,Human Factors,I was Pilot in Command (PIC) occupying the left seat. While I was taxiing into parking; being marshaled by a lineman; the Second in Command (SIC) stopped the aircraft to avoid collision with a parked Aircraft Y to the right side. We shut the airplane down and inspected. I found our right wingtip under the wing of the parked Aircraft Y with the aft tip of the right swooplet in contact with the underside trailing edge of the left aileron of the parked Aircraft Y.As I am new to an airplane with a wingspan considerably longer than what I'm used to; I need to be extra conservative when it comes to wingtip clearances.,,,,Citation Captain reported ground contact with another aircraft while being marshaled into parking.
1520162,201802,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,,,PA-44 Seminole/Turbo Seminole,,,Part 91,None,Training,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Pilot Not Flying; Instructor,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 120; Flight Crew Total 1120; Flight Crew Type 165,,Situational Awareness; Training / Qualification,,,1520162,,,,,,,,,,,,Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Ground Strike - Aircraft; Ground Excursion Runway,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action,Human Factors,Human Factors,Practicing engine failure prior to VMC. Was told to line up and wait. Student went full throttle and I ([the] instructor) failed the left engine at 25 kts. The student recovered by bringing both throttles to idle and got back to centerline. We have done this numerous times in the plane and in the sim. I then returned the left mixture to full rich. The student then went full throttle on the left engine. We shot off to the right very quickly. I called for flight controls and brought both throttles back to idle. The student didn't hear me call for controls and slammed [on] and locked up the brakes. I could not recover in time. [This] resulted in going off Runway by putting our right main gear and nose wheel in the rocks. It resulted in a runway excursion and possible prop strike.What could have been done to prevent this was have a better brief of how to correct for this situation. I could have been closer on the controls to hopefully 'save' the plane and have it stay on the runway. I could have yelled my controls more clearly and loudly.,,,,PA44 Instructor Pilot reported a runway excursion resulted when the student pilot lost directional control during engine-out takeoff practice.
1520737,201802,1201-1800,ZZZ.Airport,US,,,0,,,,Windshear,,,2500,,,Personal,Cessna 150,,1,Part 91,VFR,Training,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Trainee,Flight Crew Private,Flight Crew Last 90 Days 10; Flight Crew Total 245; Flight Crew Type 200,,Training / Qualification,,,1520737,,,,,,,,,,,,Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Ground Strike - Aircraft; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,Aircraft In Service At Gate,Aircraft Aircraft Damaged,Human Factors; Weather,Human Factors,Windshear on landing. Gusting winds on roll out causing the aircraft to scratch wingtip fairing due to improper aileron deflection after landing.,,,,C150 student pilot reported striking a wing tip on landing in gusty wind conditions.
1520823,201802,0001-0600,ZZZ.Airport,US,,,,,,,,,Night,,,Tower ZZZ,Air Carrier,B767-300 and 300 ER,,2,Part 121,IFR,,FMS Or FMC,Takeoff / Launch,None,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Fan Blade,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Troubleshooting,,,1520823,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 80; Flight Crew Total 14000; Flight Crew Type 3000,,Troubleshooting,,,1520825,Aircraft Equipment Problem Less Severe; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Inflight Event / Encounter Bird / Animal,,N,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; General Maintenance Action,Environment - Non Weather Related,Environment - Non Weather Related,On the takeoff roll; at approximately 120 knots; I saw/felt/heard what I perceived to be a bird strike of the left side of the aircraft. The bird (?) appeared to be white and moderate to large size. It seemed to be a glancing blow. No engine anomalies nor control issues were present thus the takeoff continued normally. There was a short-lived (one minute or less) very faint burnt odor; which cleared rapidly during the initial climbout. The flight proceeded uneventfully until after landing and taxiing clear of the runway; the Captain noticed a large cloud of smoke; which appeared to be coming from the aircraft. The smoke quickly cleared and we had no indications in the cockpit of any problems. We stopped the aircraft on the taxiway and requested Airport Rescue and Fire Fighting (ARFF) inspect the aircraft before proceeding into the ramp. ARFF reported no abnormalities. Brake temperatures were normal. We then proceeded into the ramp. After exiting the aircraft the Captain and Mechanic saw damage to several of the left engine fan blades and damage to an inspection panel inboard of the left engine.,,[Report narrative contained no additional information.],,B767-300 flight crew reported a bird strike on takeoff roll; resulting in aircraft damage.
1521645,201802,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,CTAF ZZZ,Personal,PA-28R Cherokee Arrow All Series,,1,Part 91,None,Training,,Landing,,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 55; Flight Crew Total 254; Flight Crew Type 62,,Distraction; Training / Qualification; Other / Unknown,,,1521645,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Gear Up Landing,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged,Human Factors,Human Factors,On LEFT downwind for Runway XX; another aircraft was joining the pattern and communicated that they were joining RIGHT downwind Runway XX. This made me concerned they didn't know that it was LEFT traffic pattern at ZZZ; and was scanning the RIGHT downwind for any traffic. As I was turning LEFT base I made sure they were not on RIGHT downwind; and as I turned final I could see the plane was on LEFT downwind and had communicated wrongly. When flaring the plane and waiting for the wheels to touch down; I suddenly heard a loud scraping sound of the body of the plane sliding on the pavement. I immediately turned off all electrical systems and the fuel to off position and evacuated the plane as soon as it came to a stop.I have learned that even by using the checklist going through the GUMPS on downwind; base and final; you can during an event of increased workload be distracted; resulting in not following through with the mechanical input of the action described and read on the checklist.,,,,PA28 pilot reported a gear up landing after being distracted by other traffic in the pattern.
1521705,201802,1201-1800,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,CTAF ZZZ,Personal,Bonanza 36,,1,Part 91,None,Personal,,Landing,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 14; Flight Crew Total 1417; Flight Crew Type 84,,Distraction; Situational Awareness,,,1521705,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Ground Event / Encounter Gear Up Landing,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged,Human Factors; Manuals,Ambiguous,I conducted an afternoon flight to visit my friend in ZZZ. In the aircraft sitting in the copilot's seat with me was another friend. Flight following was used throughout the flight. 20 miles out; I monitored ZZZ CTAF and AWOS with a descent to 3500. 12 miles out I was released by Approach. I descended to 1400 ft; established approach profile 16 inches Manifold Pressure; 110 kts. At 6 miles I intercepted the Rwy XY extended centerline; radioed intent to land on [CTAF]; had the field in sight; performed initial pre-landing check; switched to fullest tank; deferred gear until approach angle intercept; RPM to 2500; and applied approach flaps. At approach; I lowered landing gear at PAPI glidepath intercept. At that time I noticed high tension power lines crossing the approach path that were unusually high and crossed the path to the runway. I continued maintaining safe clearance above the power lines on approach. On short final I applied full flaps and noticed the flaps were already in the full flaps position. Over the threshold I reduced throttle to idle and flared for normal landing. On touch down immediately I realized that I had a gear up landing. The aircraft had a smooth run out on centerline. I knew then that while my attention was diverted to the high power lines; I did not verify the gear lights had illuminated; I misidentified the flap switch as the landing gear switch explaining why it was in the full down position. I called FSS and requested assistance. Police; fire; and airport manager responded and verified no one was injured and released us to clear the aircraft from the runway. The NTSB called me and after providing info and a statement wrote '...Call if you have any further questions; NTSB has no further interest in this event.' Later that day the FAA office called and requested information as well which is the previous content.On reflection things that I can do are: I use a generic checklist that requires steps to be deferred. A landing flow checklist can be developed and used to the actual three phases to an approach. Unexpected obstacles added distraction to an otherwise sterile cockpit. A flyby of new airstrips would disclose the unexpected prior to approach. You can start using my passenger to read and confirm checklist items. This would not assist in solo tripsOutside my control: There are no mention of the high tension wires in the AF/D or airport diagram?,,,,BE36 pilot reported making a wheels up landing after delaying landing gear extension in order to remain above high-tension wires. Pilot inadvertently extended the flaps when attempting to lower the landing gear.
1521926,201802,1201-1800,BIF.Airport,TX,,,0,,,VMC,,,,,,,Air Carrier,Large Transport,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Confusion; Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,,1521926,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Communication Breakdown; Training / Qualification,Party1 Flight Crew; Party2 Ground Personnel,,1521928,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Other / Unknown; Ground Event / Encounter Object,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Aircraft Aircraft Damaged; Flight Crew Rejected Takeoff; Flight Crew Returned To Gate; Flight Crew Took Evasive Action; General Flight Cancelled / Delayed; General Maintenance Action,Human Factors; Procedure; Staffing,Procedure,After preflighting and preparing for departure; all the maintenance; fueling; and paperwork was completed. All the trash had been removed and we were ready for departure. I advised that we were ready and to organize grounds handlers and shut the door for departure.He walked across the ramp to the operations building and advised the ground handlers and was headed back from my view in the cockpit. I exited the cockpit to see if anything else might have popped up down on the main deck. Everything seemed ready and I advised a Flight Attendant (FA) at L1 walking across the ramp that we would be ready to go and I did a head count to verify everyone was on board. Also asked her to have the [company] call me in the cockpit if he needed to tell me anything that changed from our last plan.I went back upstairs and completed a briefing for a runway 03 departure and got a Maintenance briefing on what they had worked on and reviewed the sign-offs. Noted the air stairs were being moved and they stopped about fifteen feet away and I assumed they were getting chalks; extinguishers; and etc since they had stopped for some length of time at the fifteen foot mark away from the L1 door. After about six to ten minutes; the air stairs operator drove off to the operations building (about two hundred yards away) and I could see the operator get out and go into the building. We sat there for about another ten minutes curious if that was the extent of our marshaling out of the ramp area. We were the only aircraft out there and from our view of everything was clear in daylight from our view in the cockpit. Many places don't really marshal us out when powering out of parking but pull the chocks and extinguishers and kind of do a wave off at the side of the aircraft or well out of the way in front of the Aircraft from my past experience on charters on bases using civilian contractors for ground handling come to mind as examples of this.After waiting for ten minutes it seemed that no one was going to standby outside to wave us off other than the air stair operator that left. We called to see if they could find our ground crew but to no avail. After some time we asked if ground control could see if we [were] clear for an engine start. [Controller] had to get binoculars and said it appeared to be clear to her and that we could start at our discretion. Not quite ready to do that I asked our mechanic to come to the flight deck to confer with him on dealing with the local ground handlers. He came up and advised they were pretty weak in his experience at BIF. I believe he used the word 'lazy.' He also said they don't have headsets. Thinking we had been abandoned prematurely; we viewed the area again for obstacles in which we seemed clear from our view in the cockpit. We were the only Aircraft on that very large ramp and felt that we were safe to start up and taxi after the ground controller advised we appeared to be clear.We ran the checklists; started engines and before taxi checklist. Called for taxi and advanced the throttles to taxi. I did feel a slight bump and tiller twitch left. Turned out to be a small set of chalks probably used on the nose wheel left side. I have taxied over chalks in my past where they couldn't get them dislodged from under a wheel and didn't have a tug. This felt like that and I taxied straight out so as keep them clear of the gear then turned left. After getting some space forward and turned I could see I was correct on the chalks (one set of small yellow ones used on one nose wheel) but nothing else.I taxied via 'Alpha' to 'Charlie' and hold short of runway 03 awaiting departure release which made us wait five minutes. We completed the 'Before Takeoff' checklist while waiting and were finally cleared for takeoff. Taxied forward to runway 03 and advanced the throttles to 70% N1 and then selected the auto throttles. At approximately 30-40kts we got a WARNING 'CONFIG STAB' master warning and I rejected the takeoff by closing the throttles applying the brakes. RTO braking did not engage due to the low speed parameter. I did not stop all the way seeing the nature of the warning but slowed to about five kts as we asked tower where we could turn off the runway to evaluate the situation. They came back that they needed us to go to 'Lima'; 'November'; or the end due to weight load constraints on the taxiways. At about that; time tower notified us that we seemed to have smoke coming out of engine #3. We had no indications of fire and requested more details if he could give them to us. He could not offer any more information and said he would send out a FOD inspector out as we continued to taxi to get off the runway. We had our mechanic sitting in the jumpseat from the earlier conference over the ground handler and brought him into the information loop. He noted no fire warnings and requested to keep #3 running so he could examine engine parameters which looked normal just like the other engines I agreed with him. We let it run a little while longer to observe and found nothing; but thought it would be better to error on the side of caution and I said to shut down engine #3 to the First Officer (FO).We eventually exited the runway onto 'November' then joined 'Mike' to hold short of runway 21 expecting to taxi back to the blocks after the FOD Inspector finished his job. We sat there idling for some time contemplating what was causing the the CONFIG STAB warning. We had both individually checked the Weight and Balance (W/B) against the FMC and rechecked it again while waiting on the FOD check. Per the Weight and Balance sheet we were at 23.1% TOW MAC and 3.1 units on the Stab Trim per the FMC and still indicated that on The FMC and STAB indicator in the green band. After some time; an initial report came back that there were pieces of metal about where we initiated the RTO. A little later another report came back that it appears to be pieces of a fire extinguisher.At this point we decided we might want to inspect the Aircraft where we were at in case of damage or causing further damage. We got clearance to shutdown and did so. We started the APU and sent the mechanic down the access door. He came back with a report that a fire extinguisher was lodged in the right side inboard body gear wheel truck. We requested that we might need a tug to push us back some to dislodge it; which was not available. The FOD Inspector came along by then and saw that it was discharged and pulled it out and put it in his truck. That explained the white smoke reported by the tower. The RTO put a lot of extra pressure on it and made the pressure vessel pop. The mechanic inspected the gear; tires and determined we could safely return to the ramp. Also noted that upper stab trim band light illuminated when the extinguisher was removed from the truck; but that could just be coincidence due to fuel burn by that time.Once the mechanic returned to the cockpit; we got clearance to start up again and requested a firetruck escort back to the ramp in case any new problems happened. We were parked about three more spaces down from where we were earlier and were marshaled in. I wrote up the RTO due to the CONFIG STAB Master Warning going off; the discovery of an extinguisher in the right inboard body gear; and requested an inspection of a suspected possible second extinguisher due to the description we got from the FOD inspector making me think we might have two extinguishers involved in this event. It was after the inspection was done that it was determined that it was only one extinguisher. Brake temps were never an issue due to the low speed RTO and mostly empty airplane. Got no higher than 2's on the brake indicators.It took about thirty to forty five minutes to get our handlers out to the aircraft with air stairs and an extinguisher placed well out in front were we could see it from the cockpit. I believe ground control was able to get ahold of someone to recallthe ground handlers. We were told they had left the airport for home after we blocked out. Took about another hour and a half to get a K-loader to off load the tires in the spares kit and then an hour to replace the tires.Post event. We found out that the air stair operator only works the air stairs and another person was supposed to pull chocks and the fire extinguishers. The person who was supposed to pull chocks and the extinguisher was taking the international trash to be dumped instead of staying at the aircraft to launch the flight. This split job delegation seems different than most of the other civilian handlers doing this for us at other bases. I regularly see the guy driving the air stairs; pulling chocks and extinguishers. One or two guys at the same time. Not one driving off with the air stairs and going home; leaving the aircraft sitting there with no ground handler around at all and obstacles in the way of the aircraft and out of view of the flight crew. At the very minimum; he should have told us that the other ground handler would be along in a little while and that we still have chocks and an extinguisher in place. None of which was told to the flight crew. A positive hand off between the two different ground handlers themselves should have been applied and even better if the flight crew was involved also.The mechanics inspected the flaps; tires; gear and replaced two tires and repaired a canon plug to the #9 brakes. We coordinated with dispatch to use the same flight release and flight plan. Update the flight releases validity period; refiled flight plan; fueled and had a new Sable W/B made. We had the [company] create a new weight and balance so that the FA's would be sitting at their stations shifting the MAC a little just in case the extinguisher stuck in the wheel truck didn't cause the CONFIG STAB Master Warning. I believe the new W/B in that set up was 24.2% MAC and 2.9 units of stab trim in the upper green band.We prepped for departure; briefed and this time we had an air stair operator and a person to pull chocks and the extinguisher that was placed this time in front of the Aircraft where the crew could see it. Had to use hand signals with the ground handler. Started up and flashed him with the lights to taxi. He waived and then drove off without marshaling us.,,[Report narrative contains no additional information.],,Captain of a large turbojet reported issues with ground personnel procedures that resulted in a rejected takeoff and aircraft damage.
