 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
922989,201012,1801-2400,ZZZ.Airport,US,,,0,,,,,,Night,,,,Air Carrier,B777-200,,,Part 121,,Passenger,,Parked,,,,,Y,,Scheduled Maintenance,Repair; Installation; Work Cards; Testing,,,,,,,,,,,,,,,,,,Nose Gear,Boeing,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,,,Situational Awareness; Training / Qualification; Communication Breakdown,Party1 Other; Party1 Maintenance; Party2 Maintenance,,922989,,,,,,,,,,,,Aircraft Equipment Problem Critical,,N,Person Maintenance,Other Landing Gear change,Aircraft Aircraft Damaged; General Maintenance Action,Human Factors; Procedure; Chart Or Publication; Aircraft; Manuals,Procedure,"During the installation of the Nose Landing Gear (NLG) lock link; the sequence valve rod and idler were incorrectly connected to the gear operated sequence valve. When the landing gear was operated; the NLG wheel well doors closed while the gear was retracting. The landing gear struck and damaged the doors. The input lever to the sequence valve was also damaged. While replacing the damaged sequence valve input lever; I realized that the sequence valve rod can be connected to the [sequence valve] input lever two different ways.","Reporter stated the B777 Nose Landing Gear (NLG) wheel well has left and right forward and aft doors. The aft doors are also known as strut doors. The forward facing hydraulic steering cylinders on the NLG strut contacted the forward doors during the NLG Operational Check. Reporter stated the sequence valve input lever must be in the vertical (down) position before connecting the two piece control rod. The rod is connected to the sequence valve input lever on one end and to the NLG lock link on the other end. The same two piece rod assembly has to be removed before they remove the NLG from the aircraft. The Maintenance Manual (MM) procedures do not specifically reference mechanics to position the sequence valve input lever to the down position when reconnecting the control rod to the input lever. The MM reference diagram is too small and does not help in determining the correct position of the input lever before reconnecting the control rod. The longer section of the two piece control rod is connected to the NLG lock link and can be installed even when the sequence valve input lever is not in the correct position.Reporter stated he does not know if the MM procedures will be changed; but his company's Engineering will be revising their NLG Removal and Installation Job cards.",,,"During an installation of a B777-200 Nose Landing Gear (NLG) Lock Link; the sequence valve input lever was not positioned to the vertical (down) position prior to connecting a two piece control rod from the NLG lock link to the input lever. When the NLG was operated; the NLG wheel well doors closed while the gear was retracting.",
923032,201012,1801-2400,ZZZ.Airport,US,,,,,,VMC,,,Night,,,Tower ZZZ,Corporate,Short Brothers Undifferentiated or Other Model,,2,Part 135,IFR,Cargo / Freight / Delivery,,Landing,Visual Approach,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Main Gear,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Captain; Pilot Not Flying,Flight Crew Commercial; Flight Crew Multiengine,Flight Crew Last 90 Days 140; Flight Crew Total 2700; Flight Crew Type 2000,,Training / Qualification; Workload; Situational Awareness; Time Pressure,,,923032,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; General Maintenance Action; General Declared Emergency,Aircraft,Aircraft,"As we approach at approximately 10 miles out the crew began configuring the airplane to land. We did the Approach checks and noticed that we had an indication that the right main gear was not extended. Our first reaction was to recycle the landing gear and we still had the same scenario. We then verified to make sure it wasn't just a wrong indication by doing a light filament test; then we proceeded to bringing the power back and that's when the gear horn came on. We then called the Tower and asked for a go around and notified them of our gear indication. We did a low pass to see if the Tower could verify if the gear was down; but because it was dark they couldn't visually check it and we then continued to do another low pass a little closer to the Tower; and again they were unable to determine that our gear was down. After the second low pass; we proceeded to fly north of the station for 10 miles and performed the appropriate emergency checklist. We began with landing gear failure checklist. Because at this point our hydraulic system pressure and contents was decreasing we shut of the inlet pumps and extend emergency gear handle; as called for in the checklist. We then again reduced the power levers; and again the landing gear horn came on. So then we continued the checklist; we did two 360 turn one to the left and one to the right at 120 KTS and 45 degree banks; the First Officer visually checked the gear from the passenger window and still the gear wasn't extended. At this point we decided to proceed inbound to the airport where a Coast Guard helicopter was in position to see if; with their equipment; they could see if the gear was locked in position. Again we did another low pass but there was no way to determine the position on the gear. By this time our low fuel light on the CWP came on and we decided to commit to land and prepared for a flap less landing. I told the First Officer to land on the left main gear and let the airspeed bleed off until we stopped. We landed on the left main gear and at 10 KTS I took control of the airplane and maintained directional control of the airplane with differential power until the airspeed bleed off and the nose wheel came down and there was nothing else we could do. The airplane began turning to the right and we shut down the engines. The airplane stopped abeam Charlie Intersection to the right end of the runway. First at the scene was Fire Rescue and Company personnel. We believe the right main gear malfunction was caused by an object of some type being projected into the gear pod by the aircraft right main tire during takeoff. The object hit the steel hydraulic supply line and dislodged it from its mounting points inside the right main gear pod. During normal gear retraction into the right main gear pod the wheel and gear struts became entangled with the dislodged hydraulic line and ruptured the hydraulic pressure supply line. During normal gear extension prior to landing the ruptured hydraulic line leak resulted in insufficient hydraulic pressure being provided to the right main gear up lock to release and extend the gear normally. The right main wheel and gear struts were jammed by the hydraulic line and prevented extension by high G loading the aircraft gear assembly and wheel in flight to extend the gear out of the right main gear pod. Fortunately; due to the design of the aircraft to not have gear doors on the main gear and the engines being mounted on a high wing design the aircraft settled onto the exposed portion of the right main gear resulting in minor damage to the front portion of the fiberglass gear pod.",,,,"The right main landing gear of a Shorts SD3 became lodged in its pod by suspect FOD and because of hydraulic line damage neither the landing gear nor flaps would extend. Finally in a low fuel state an emergency was declare and the aircraft landed safely with the right gear up.",
923556,201012,1801-2400,ZZZ.Airport,US,,,0,,,IMC,,Temperature - Extreme,Night,,1600,,Air Carrier,ATR 42,,2,Part 121,IFR,Cargo / Freight / Delivery,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Propeller Pitch Change Mechanism,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Troubleshooting; Situational Awareness; Communication Breakdown; Training / Qualification,Party1 Flight Crew; Party2 Ground Personnel,,923556,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Troubleshooting; Training / Qualification; Communication Breakdown,Party1 Flight Crew; Party2 Maintenance,,923557,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Pre-flight,Aircraft Aircraft Damaged; Flight Crew Returned To Gate; Flight Crew Took Evasive Action; General Maintenance Action,Aircraft; Human Factors,Human Factors,"The before start checks were completed and engine start initiated; during engine start on the #2 engine; all parameters were normal except that the ECU (Electronic Control Unit) remained faulted. Performed 1 reset on the ECU and it resumed normal operation. The same process occurred on the start of engine #1: all parameters normal except for the ECU remaining faulted. Reset the ECU and it resumed normal operation. We completed the after start checks and the props were brought out of feather to maximum RPM with normal indications. We taxied out to the de-ice pad; temperature was 0 degrees Celsius and visibility was 1/4 mile in freezing fog. The crew kept their eyes outside the aircraft due to the low visibility. We arrived at the de-ice pad. I set the parking brake and called for the quick turn checklist. I then brought the condition levers to feather. I immediately noticed an abnormal noise and looked at the engine gauges. I saw that the torque was beginning to increase and immediately decided to shutdown the engines. The #2 engine moved into fuel shut off; but the #1 engine was stuck on gate in the feather position. At this point I saw torque moving through 60% and moved my focus onto the condition lever to get it past the gate. Captain was eventually able to move the #1 condition lever into fuel shut off. The result of this was an over-torque of the propellers on engine #1. Several factors contributed to this event: 1) This was the first flight of the week and maintenance had been performed the previous weekend. When that maintenance was performed; the feather control circuit breakers had been pulled for both engines and had failed to be pushed back in.2) The pulled circuit breakers had failed to be identified by the First Officer in his preflight.3) I failed to identify that the LO PITCH lights did not illuminate when I brought the propellers out of feather prior to taxi.4) The condition lever for engine #1 was stuck on the gate at the feather position. It took repeated attempts by both of us until the First Officer was finally able to move it into fuel shut off; at which point too much time had passed allowing an over-torque.",,"Maintenance had performed a two month check on the aircraft. This check called for pulling the Feather Control and SCU circuit breakers on the engine control overhead circuit breaker panel. Upon completion of the check the circuit breakers were not reset as they should have been. The Captain and I arrived to the aircraft at and completed the acceptance checklist with external power. During the preflight the pulled Feather Control and SCU circuit breakers were not discovered. During initial start both ECU 1 and ECU 2 Faulted. While in Feather both ECUs were reset and parameters appeared to be normal and we continued normal operations. Upon Completion of the after start checklist we taxied to the Deice Ramp located on the other side of the field. RVR at the time was being reported as 1;600 RVR and there was ice on the side windows so both of us were focusing on everything outside of the aircraft. There were no taxi checks completed except for a brake check. Upon reaching the deice pad; the Captain called for the Quick Turn checklist and set the parking brake. While reading the checklist the Captain brought the condition levers to the Feather position. I immediately heard the engines spool up and looked over to see both Torque needles rising. I yelled 'shut it down!' and he was quick to select Fuel Shut off with the #2 condition lever; but was struggling to select Fuel Shut off with the #1 Condition Lever. I eventually reached over grabbed the #1 Condition Lever and selected Fuel Shutoff. We then notified Dispatch and Maintenance control that the #1 Prop may have been over torqued and we opted to have the local FBO tow us back to the ramp just in case the #2 Prop had also been over torqued. The outcome of this incident was a Prop Over Torque of the #1 Engine. This was due to the circuit breakers not being reset after the two month check; my failure to not discover the pulled circuit breakers on the preflight; the crews failure to not detect extinguished LO PITCH lights during the after start and the flight crews failure to shut down the control levers quick enough to prevent the over torque.",,"An ATR72 mechanic failed to reset prop feather and control circuit breakers following a periodic check. When the crew started the engines and attempted to put them into idle feather; the props over torqued.",
923573,201012,1201-1800,ZZZ.Airport,US,,,0,,,VMC,10,,Daylight,4000,,CTAF ZZZ,FBO,SR20,,1,Part 91,VFR,Training,,Takeoff / Launch,Direct; Visual Approach,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Pilot Flying; Single Pilot,Flight Crew Student,Flight Crew Last 90 Days 31; Flight Crew Total 36; Flight Crew Type 36,,Training / Qualification,,,923573,Hangar / Base,,FBO,Instructor,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 90; Flight Crew Total 1425; Flight Crew Type 1100,,,,,923600,Ground Excursion Runway; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged,Airport; Human Factors; Weather,Ambiguous,"I was flying a single engine Cirrus SR20. I'm a student pilot [and] filed a VFR flight plan. Landing on Runway 27 was fine (wind at time was 310 at 10); I taxied back to Runway 27 for VFR departure back to home base. After applying full power the aircraft started to veer to the left and I applied right rudder and power idle to regain control. The aircraft slid off runway about 1;000 FT down. I think this situation was caused by patchy ice on the runway; and strong crosswind. I could have prevented this by slowly applying power to get a feel for the icy runway and also apply crosswind correction during takeoff.",,"My student was flying a solo cross country in a single engine Cirrus SR20. Landing on Runway 27 was fine (wind at time was 310 at 10 Gust 17); He taxied back to Runway 27 for VFR departure back to home base. After applying full power the aircraft started to veer to the left and he applied right rudder and power idle to regain control. The aircraft slid off runway about 1;000 FT down. I think this situation was caused by patchy ice on the runway; and a strong crosswind. He could have prevented it by slowly applying power to get a feel for the icy runway and also apply wind correction during takeoff.",,"Student pilot reports a runway excursion while attempting to takeoff in a crosswind on a runway with patches of ice. Reports from the Head Instructor and the student's instructor are included.",
923650,201012,1801-2400,SFO.Airport,CA,,,700,,,VMC,,,,CLR,,TRACON NCT,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,Class B SFO,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 67; Flight Crew Total 16235; Flight Crew Type 5189,,Training / Qualification; Troubleshooting; Workload; Situational Awareness,,,923650,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,,Flight Crew Last 90 Days 250; Flight Crew Total 11000; Flight Crew Type 6700,,Workload; Training / Qualification; Situational Awareness,,,923879,Aircraft Equipment Problem Critical; Inflight Event / Encounter Bird / Animal,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed As Precaution; Flight Crew Returned To Departure Airport; General Maintenance Action,Airport; Environment - Non Weather Related,Environment - Non Weather Related,"Approaching 800 FT MSL; SFO Tower instructed us to contact Departure Control. While my eyes were in the cockpit; the First Officer (pilot flying) said 'birds' and I quickly looked up to see a flash go by my left as a group of birds passed by in the illumination of the landing lights. The First Officer stated later that he thought he saw 4 birds pass the left side and one on the right. I felt a thump and immediately; there was a change in sound coming from one of the engines. The engine did not surge or fluctuate. The sound was a constant frequency like someone turned on a very noisy ventilation fan. I also noticed a small vibration that was associated with the noise. I scanned the engine instruments and all parameters were stable in the normal range except for the left engine vibration. It showed an elevated reading for N1 with a value of 2.5. That's not alarmingly high; but it was elevated none the less. The right engine's N1 value was 0.3. When we reduced the thrust to climb thrust; I noticed a decrease in the frequency of the noise and a slight decrease in the vibration level. At this point; I was pretty sure the bird or birds impacted the left engine and caused fan blade damage. We leveled off at 5;000 FT MSL and with the power back; the vibration and noise reduced to almost undetectable levels. Because of this; I did not feel we had severe damage and I chose not to perform the Engine Fire/Severe Damage/Separation checklist. I felt we could keep the engine running. However; I was concerned that we took enough damage to that engine that we needed to make a precautionary landing back at SFO. I talked to the passengers and told them what had apparently happened and then I talked to the Chief Purser and he asked me if I wanted him to do anything special; hinting at prep. I said no; a prep would not be necessary; it would be a normal landing and that he could do a cabin advisory. We informed ATC that we were going to return to SFO. I sent an ACARS to Dispatch to call me. I then sent him an ACARS message that we had a bird strike and we were returning to SFO. Shortly thereafter; Dispatch called me and we had a brief discussion informing him what we were doing. He asked if I wanted to talk to Maintenance; however; at that point; we knew we would be returning to SFO; our best option. I did not see Maintenance being of a lot of help to us at that moment. Maintenance could look at it on the ground. Around this time; ATC had us near the final approach about 12 to 15 miles from the field. Dispatch said he would work on notifying everyone and we ended our discussion. When I rejoined with the First Officer; ATC asked if we were ready to turn toward the field. At that point I felt we were ready to make the approach and landing. We then did a quick brief for a visual approach and I ran all the appropriate checklists. The First Officer flew the approach and landing. We were 3;000 LBS over maximum landing weight and the First Officer made a nice soft landing on Runway 28L. After exiting the runway; we shut down the left engine and taxied to the gate. After the parking checklist was complete; we made sure to logbook the overweight landing and the bird strike. We viewed the left engine inlet and noted 6 to 8 fan blades with significant damage due to the bird strike.",,,,"An Air Carrier aircraft departed SFO Runway 1R and struck a flock of birds at about 700 FT damaging the left engine. The crew returned to land and found 6-8 blades with significant damage.",
923679,201012,1201-1800,ZZZ.Airport,US,,,,,,VMC,,,Night,CLR,,Tower ZZZ,Air Carrier,MD-83,,2,Part 121,IFR,Passenger,,Landing,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Main Gear Door,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,,,,Human-Machine Interface; Troubleshooting; Situational Awareness,,,923679,,,,,,,,,,,,Aircraft Equipment Problem Less Severe,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft,Aircraft,"The Captain was the pilot flying; the aircraft was configured on schedule and everything was normal until the gear was selected down.  The landing gear door open yellow warning light remained on.  Captain directed me to read and complete the QRH and declare an emergency with Tower; including a request for the emergency vehicles.  After running the QRH procedure I advised Tower that we would stop the aircraft about halfway down the runway and once at a stop we would be disabled therefore requiring them to close the runway.  Once the aircraft was stopped and the parking brake set; PA's were made to both the passengers and the flight attendants.  Once Airport Rescue and Fire Fighting was on scene and the all OK was given to us an open line of communication was maintained with the passengers; flight attendants; Company (Operations/Maintenance); Airport Rescue and Fire Fighting and Tower until the gear was pinned and we were on our way.",,,,"A MD80 main gear door warning light remained illuminated after the gear were all down and locked.  An emergency was declared and the aircraft landed safety.",
923756,201012,1201-1800,,,,,0,,,VMC,Icing; 10,,Daylight,11000,,CTAF ZZZ,FBO,Skyhawk 172/Cutlass 172,,1,Part 91,None,Training,,Takeoff / Launch,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,Flight Deck,FBO,Instructor,Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 150; Flight Crew Total 480; Flight Crew Type 430,,Situational Awareness,,,923756,Aircraft X,Flight Deck,FBO,Single Pilot,Flight Crew Student,Flight Crew Last 90 Days 19; Flight Crew Total 69; Flight Crew Type 69,,Training / Qualification; Workload; Time Pressure,,,923761,Ground Excursion Runway; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Observer; Person Flight Crew,Other Takeoff Roll,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action,Human Factors; Weather; Airport,Weather,"My student was performing a solo flight in the traffic pattern using Runway 24. He was flying a C-172. The runway conditions were slick; however sand had just been laid on the runway's surface. I permitted him to conduct a solo flight to practice maneuvers in preparation for his check ride. During the takeoff roll the airplane slid off the left side of the runway. My student cut power to the engine and the propeller impacted a snow bank; bending the propeller. The winds were light out of 270 degrees. I have documented all the training I have given to him in detail; including crosswind takeoffs. I plan to give him retraining in the areas of crosswind takeoffs and landings as well as an in depth lesson on winter operations.",,"Ice covered runway. With winds at 270 I used Runway 24 with aileron slightly to the right and full power. Began to slide to left [so I] gave more right rudder [but] continued to slide. With power to idle and slight brake [still] continued to slide. Horizontal slide into snow bank. Tipped forward prop struck ground and plane right wing tip hit ground. Clear runways better would have prevented. Airport approved solo.",,"A C172 piloted by a solo student slid left off an icy runway at the beginning of his takeoff roll even though the runway had been treated with sand. Light right crosswinds were present.",
924125,201001,1201-1800,ZZZ.Airport,US,,,0,,,,,,Daylight,,,,Air Carrier,B767-300 and 300 ER,,2,Part 121,,Passenger,,Parked,,,N,Y,Y,N,Unscheduled Maintenance,Installation; Inspection; Repair; Work Cards,,,,,,,,,,,,,,,,,,Leading Edge Slat,Boeing,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,,,Confusion; Situational Awareness; Communication Breakdown,Party1 Maintenance; Party2 Maintenance,,924125,Gate / Ramp / Line,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Situational Awareness; Communication Breakdown,Party1 Maintenance; Party2 Maintenance,,924126,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Maintenance,Other Shop Overhaul,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action,Chart Or Publication; Company Policy; Human Factors; Incorrect / Not Installed / Unavailable Part; Aircraft; Manuals,Human Factors,"While working a B767-300 aircraft for a leading edge slat asymmetry problem; I was involved in replacing the #7 slat outboard offset gearbox for precautionary reasons; in conjunction with other work that involved [maintenance] checks. It has been brought to my attention the 'ON' unit [gearbox] installed; was not a good part number per the Illustrated Parts Catalog (IPC). The part was ordered and received with a valid serviceable tag with the correct company part number. The 'ON' [gearbox] and 'OFF' [gearbox] unit both contained the basic part number with different dash numbers. The referenced IPC contained the same; i.e. multiple; dash numbers applicable with the company part number and aircraft effectivity. It was unnoticed at the time of installation [that] the dash number [of the gearbox] installed was not present in the IPC referenced.","Reporter stated a slat rod was damaged at the right wing #7 inboard leading edge slat; outboard rotary actuator position; between the drive motor (rotary actuator) and the slat. The outboard offset gearbox was replaced due to the belief the offset gearbox had locked-up and caused; or contributed to; the damaged slat rod. The slat inboard Power Drive Unit (PDU) was also replaced.Reporter stated the part number for the installed; or 'ON'; offset gearbox was the same as the gearbox removed; but the dash number on the gearbox data plate following the part number for the gearbox being installed was not effective for that B767-300. A company Shop Mechanic overhauling the same offset gearbox noticed six months later the 'ON' gearbox part numbers that were also written on the unserviceable tag for the returned gearbox; were not effective for the B767-300. The Shop Mechanic immediately notified their company Engineering [department] of the discrepancy through their in-house communication e-mail. Six months later; their Engineering department finally decided to have the B767-300 checked for a possible incorrect offset gearbox installation. The gearbox was replaced again on an overnight check.","A B767-300 aircraft right-hand leading edge slat was damaged and [aircraft was placed] on AOG (Aircraft on Ground). I went on an emergency field trip to replace an outboard slat gearbox. Received a gearbox with company part number XXX and reference Illustrated Parts Catalog (IPC) chapter XX-XX-XX with a current effectivity.",,"One year after installing a #7 inboard slat outboard offset gearbox on a B767-300 aircraft during a field trip; a Line Mechanic was informed the gearbox he installed was not effective for the aircraft. A Shop Mechanic had notified their Engineering Department six months earlier of the gearbox part number discrepancy.",
924210,201011,0001-0600,ZZZ.Airport,US,,2,900,,,VMC,6,,Night,CLR,,CTAF ZZZ,Personal,Cessna 152,,1,Part 91,VFR,Personal,,Initial Approach; Landing,,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Fuel System,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 51.6; Flight Crew Total 759; Flight Crew Type 279.4,,Human-Machine Interface,,,924210,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Fuel Issue,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Inflight Shutdown; Flight Crew Landed in Emergency Condition; Flight Crew Executed Go Around / Missed Approach,Human Factors; Aircraft,Ambiguous,"Cross country flight with cruise fuel burn rate of 5.4 GPH at 4000 FT MSL used for fuel calculation. Flight would be conducted at 4500 FT MSL and 5500 FT MSL. Engine failure; likely due to fuel starvation; occurred on approach. First approach terminated due to difficulty in locating low-intensity runway lighting.  Forced landing in field approximately 2 NM short of runway.  No injuries.  Insignificant property damage. Minimal aircraft damage.  FAA Inspectors found pilot actions were 'not intentional' and 'not grossly negligent.'  Most significant contributing factor: 1979 Model Cessna 152 had a considerably higher fuel burn rate than shown in tables and used in fuel calculation.  Corrective action: FAA could emphasize more during private pilot training that actual fuel burn rate should be monitored over a series of flights and compared to the published values. The pilot should make any adjustments in his fuel calculations required and do this for any aircraft flown routinely.",,,,"C152 pilot reports engine failure due to fuel exhaustion during second night approach to an uncontrolled airport.  Off airport landing ensues with minimal damage.  Fuel consumption rate was higher than calculated from the Cessna 152 pilot handbook.",
924716,201012,1201-1800,ZZZ.Airport,US,,,0,,,,Rain; 2.5,,,1000,,CTAF ZZZ,Corporate,Cessna 425/441 Conquest I/Conquest II,,1,Part 91,IFR,Passenger,,Landing,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,Landing Gear,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Pilot Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 279; Flight Crew Total 19700; Flight Crew Type 503,,Distraction; Human-Machine Interface; Physiological - Other; Time Pressure,,,924716,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Gear Up Landing,,Y,Person Flight Crew; Person Passenger,In-flight,Aircraft Aircraft Damaged; General Physical Injury / Incapacitation,Human Factors; Aircraft,Human Factors,"I made a GPS approach to the airport. I flew the approach fast for minimum time due to traffic following me; (I had been aware by ATC transmissions during the Initial Approach vectoring.) Although I had ground contact and recognized the airport environment; I had to look a little for the runway touchdown zone. I failed to extend the landing gear and landed gear-up. This caused substantial damage to the aircraft.I may have wrenched my back; although the symptoms did not manifest until the next morning. There was no injury to anyone else on board or on the ground. I believe the airport was closed for several hours while the damaged aircraft was removed with a crane and flat-bed trailer.The following distractions contributed to this event: trying to rush the approach; numerous recent flight hours (check last 90 days; 279 hours); I have had toothache for the past few weeks; [and] there were two passengers and a dog aboard as well as myself.",,,,"A pilot; distracted by outside events; failed to extend the landing gear of the C441 prior to landing. He reported substantial damage to the aircraft and suffered a wrenched back.",
925177,201012,1201-1800,BOS.Airport,MA,,,0,,,,,,Daylight,,,Ramp BOS,Air Carrier,Commercial Fixed Wing,,2,Part 121,,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Distraction,,,925177,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Vehicle,,,Person Flight Crew,Aircraft In Service At Gate,Aircraft Aircraft Damaged,Human Factors; Staffing,Ambiguous,"This incident took place as we were preparing to push back. The Captain and I were in the cockpit preparing the FMS and the paperwork for departure when we were jolted in our seats by movement of our aircraft. We both looked up to see outside our front windows that a large tug was scraping the nose and the right fuselage of our aircraft. At first the movement seemed light but as it continued the movement became more violent and was accompanied by the sound of our aircraft being crushed. The entire hit lasted several seconds as I watched the tug continue to move along side our cockpit. It seemed the tug driver was trying to maneuver between the ground power unit and our aircraft and did not notice he had hit us. Our tow bar was connected and projected out from the nose gear ten to twenty feet. The driver of the tug first ran over the tow bar before striking the nose of our aircraft. Upon inspection we found our aircraft had damage to the nose cone and nose gear. I was astonished that the driver of the tug would attempt to maneuver so close to the aircraft. Procedures and guidelines are already in place to avoid such incidents. The driver should have had a ground guide or could have driven another route.",,,,"A tug driver scrapped an aircraft damaging the nose cone and nose gear as he maneuvered between a power cart and an aircraft parked in the gate.",
